Month,crime_count,Ethnic_Asian_Bangladeshi,Ethnic_Asian_Chinese,Ethnic_Asian_Indian,Ethnic_Asian_Other,Ethnic_Asian_Pakistani,Ethnic_Black_African,Ethnic_Black_Caribbean,Ethnic_Black_Other,ethnic_does_not_apply,Ethnic_Mixed_Other,Ethnic_Mixed_White_Asian,Ethnic_Mixed_White_Black_African,Ethnic_Mixed_White_Black_Caribbean,Ethnic_Other,Ethnic_Arab,Ethnic_White_British,Ethnic_White_Gypsy_Traveller,Ethnic_White_Irish,Ethnic_White_Other,Ethnic_White_Roma,economy_does_not_apply,Economy_Employed,Economy_Not_Employed,employment_does_not_apply,Employment_Never_Worked,Employment_Not_Worked_12M,Employment_Worked_12M,education_does_not_apply,Education_Level_1,Education_Level_2,Education_Level_3,Education_Level_4+,Education_No_Qualifications,Education_Other_Qualifications,Migrant_Student_UK,Migrant_Same_Address,Migrant_NA,Migrant_Outside_UK,Migrant_Within_UK
2021-01-01,181,59,227,240,369,54,223,14,13,0,141,227,67,115,160,85,64485,21,179,710,17,11573,31183,24651,42756,5930,16278,2446,11573,5527,7380,11450,13821,10307,7349,74,61220,634,337,5144
2021-01-01,654,729,735,3855,1812,864,6402,1279,1232,0,1170,1143,892,1733,1362,243,154045,237,1227,8326,281,38908,89011,59652,127919,13920,38432,7300,38908,19440,24489,25316,36541,30827,12050,268,170213,2250,878,13962
2021-01-01,361,480,1057,4745,3976,709,2514,680,417,0,1091,1454,711,1461,1675,344,151572,223,1330,10478,237,35347,96973,52834,132320,9968,35657,7209,35347,15914,21571,27027,52806,21302,11187,443,163495,1989,1611,17616
2021-01-01,211,40,237,522,448,208,378,202,156,0,339,385,176,505,492,95,108338,135,317,4763,67,20437,54917,42450,75353,9511,28697,4245,20437,10651,14392,16961,24848,21013,9502,164,106232,1116,355,9937
2021-01-01,264,359,2089,1787,1876,278,980,616,250,0,1310,1846,595,1505,1058,552,165478,71,1427,11114,218,31791,89812,71806,121603,12904,44902,14000,31791,11972,19147,35318,64251,19805,11125,4918,157779,1769,2806,26137
2021-01-01,419,4486,756,10074,2650,5297,5448,3227,1173,0,1863,2146,939,3638,2796,557,118779,208,1798,18906,483,37107,90865,57253,127972,13807,35457,7989,37107,15366,19977,23976,51411,24813,12575,472,163567,2163,1672,17351
2021-01-01,380,1790,3990,10925,6346,1383,23262,3230,3583,0,2346,2179,1726,2489,5535,527,158842,620,2528,14872,302,50645,117984,77844,168628,20228,47214,10402,50645,21413,28535,32511,61837,35582,15949,638,223929,2815,1381,17709
2021-01-01,5568,48232,12487,66519,33044,195102,66822,44718,14220,0,12276,13130,4680,25119,32769,19196,491211,686,16964,45914,1833,255296,442418,447203,697714,186119,200437,60649,255296,90079,111212,152046,265806,212198,58282,11559,1007977,14272,13642,97469
2021-01-01,169,59,518,6870,632,418,980,440,174,0,590,857,267,1051,1138,177,84746,90,561,3301,55,19260,51446,32220,70706,6635,21934,3651,19260,8373,11882,15427,25547,14463,7975,162,93855,1031,324,7554
2021-01-01,537,1473,400,24389,1391,27525,1061,170,175,0,668,1329,231,368,1328,841,87997,101,589,4562,143,35230,63557,55951,98787,21900,28035,6016,35230,12968,16574,18823,32054,28923,10166,212,140262,1925,1249,11091
2021-01-01,768,442,542,892,1228,572,449,175,87,0,519,645,408,638,676,216,127445,236,808,4854,207,24697,59362,56977,84060,15328,35169,6480,24697,13677,17470,19382,26177,28575,11059,180,126403,1407,901,12146
2021-01-01,192,26,140,212,172,71,76,29,10,0,143,138,69,219,104,38,63990,133,92,1227,14,11760,28799,26345,40559,7148,16896,2301,11760,5980,8554,8647,11892,15376,4695,76,61611,662,105,4449
2021-01-01,200,12,152,266,206,86,246,111,62,0,164,190,102,288,200,42,74852,96,198,2963,34,13995,38100,28178,52095,6745,18730,2703,13995,7697,10066,11771,14406,16018,6320,84,72636,816,279,6459
2021-01-01,6,985,1123,26238,3353,27897,9299,603,1336,0,1326,2338,1242,1737,3730,1812,203486,519,1430,7133,373,63674,125438,106852,189112,35631,59565,11655,63674,24792,32352,38190,63678,52451,20824,498,269720,3543,2267,19935
2021-01-01,165,67,111,606,342,317,357,57,53,0,295,261,176,283,728,119,52540,142,161,13697,193,12918,33631,23953,46549,5324,15940,2689,12918,7317,8274,8157,10963,15921,6952,81,62453,643,786,6539
2021-01-01,197,219,828,3774,3111,947,2072,554,367,0,971,1337,565,970,1311,310,96950,161,1038,8956,164,24675,66397,33536,91071,7077,21202,5257,24675,10581,14929,17874,35578,13183,7788,339,109157,1352,1067,12693
2021-01-01,2391,12403,1345,14429,7934,139553,7061,2614,1303,0,2926,6458,1196,4426,8026,2734,309912,849,2139,19521,1583,124837,221137,200437,345974,77118,101628,21691,124837,46051,57458,66275,115663,101122,35005,973,495209,6622,3809,39799
2021-01-01,407,221,365,834,917,229,1205,442,242,0,853,880,437,844,709,106,140283,161,1085,5385,67,28699,76284,50285,104983,9708,34553,6024,28699,15569,21107,23081,32674,23238,10899,268,139393,1445,453,13709
2021-01-01,307,120,254,342,519,105,387,233,200,0,598,482,456,515,777,32,125516,204,654,9938,145,23624,65638,52214,89262,9421,37494,5299,23624,14196,18382,19911,27207,26228,11928,188,126541,1224,839,12684
2021-01-01,647,2186,3393,66157,24562,15217,31070,21258,7167,0,6683,3607,3184,3775,15937,17924,51611,237,9314,54019,2520,64673,160997,114146,225670,47370,48297,18479,64673,24296,26148,34338,109998,59770,20593,1158,292263,3974,5676,36744
2021-01-01,148,293,510,2015,828,267,1164,368,215,0,605,809,321,633,660,166,63696,95,1008,3318,77,14180,37901,24964,52081,4762,17139,3068,14180,6071,9668,10790,22248,9482,4609,174,68905,801,485,6685
2021-01-01,241,163,491,588,730,180,257,98,74,0,393,525,279,487,346,80,137755,57,452,2480,55,26006,63984,55498,89990,12985,36809,5704,26006,10624,17717,19477,35852,25993,9819,205,132884,1346,471,10582
2021-01-01,659,1729,3065,3633,3861,929,3949,988,521,0,4286,4198,2334,2410,5580,3049,204831,197,3944,26812,787,41736,139291,96076,181027,22835,54447,18794,41736,16545,25067,46359,104790,29215,13391,5784,222496,2199,4166,42456
2021-01-01,1226,2616,5466,8302,5821,9064,18149,6803,2938,0,5225,5556,2621,7714,6510,2540,338452,273,4288,39163,966,82757,238511,151198,321267,39291,81992,29915,82757,29350,41789,73981,164106,56657,23826,10860,384986,5166,6664,64789
2021-01-01,212,179,436,554,593,69,474,95,115,0,478,665,395,304,400,97,123265,60,513,2990,41,21215,62589,47917,83804,7437,35632,4846,21215,12253,17364,20032,30320,19415,11122,175,119805,1015,384,10342
2021-01-01,449,1748,5075,12326,6374,1784,13193,8169,3787,0,5073,4747,2431,5489,6297,1203,219493,578,4954,26719,551,64903,162122,102967,227025,23070,67099,12797,64903,23030,35258,39420,113508,36581,17291,815,296805,3657,2258,26456
2021-01-01,145,64,410,1854,426,405,278,375,113,0,468,783,141,1022,411,124,89676,85,986,1553,9,18082,47287,33814,65369,6426,23714,3674,18082,7355,11428,13476,29698,12725,6419,233,90084,888,335,7642
2021-01-01,187,316,420,1391,1208,322,3802,1966,820,0,1421,749,451,1309,4327,204,67891,155,1310,10762,183,19570,48306,31131,67876,7641,19326,4164,19570,9349,11727,13270,21689,16557,6845,181,89918,1116,390,7401
2021-01-01,167,112,1289,2390,1129,1232,1129,522,216,0,553,803,284,1179,968,498,93718,26,653,4176,63,18400,51916,40624,70316,8610,26992,5025,18400,8758,11486,16771,31640,16079,7805,921,98718,957,882,9462
2021-01-01,298,2737,164,378,549,10102,180,95,51,0,323,826,165,191,621,157,73752,83,457,3714,106,19447,40034,35165,59481,10758,20571,3836,19447,8368,10415,12610,18299,18347,7160,111,85154,1050,891,7438
2021-01-01,4,480,1055,1866,2044,15148,2520,701,469,0,1085,1670,746,1622,3014,715,151528,132,2192,6730,134,38978,88483,66390,127461,18840,40164,7386,38978,15069,22659,25587,50036,28706,12816,298,177523,2125,997,12908
2021-01-01,515,38,446,456,489,155,129,93,61,0,433,535,247,539,292,87,169356,38,389,2126,46,32470,77442,66043,109909,17576,42520,5947,32470,14433,22242,24146,36306,34625,11730,205,163176,1607,235,10729
2021-01-01,774,681,415,1861,1132,17637,847,400,192,0,849,1458,372,1348,1276,327,170983,136,1564,4906,247,39997,93382,73253,133378,18401,46609,8243,39997,16313,23351,29096,51419,31965,14490,320,187491,2106,778,15936
2021-01-01,295,2874,6362,5916,4974,1500,2519,639,403,0,2261,2987,1010,1152,3366,1141,77195,110,1885,28495,885,20909,70598,54167,91507,15169,25952,13046,20909,5989,8592,22686,69666,11957,5875,4807,110415,1224,6195,23033
2021-01-01,429,14356,6728,6952,8396,1610,14191,2703,1998,0,5078,4243,2059,2558,9783,4417,74348,128,5325,44285,978,32228,102511,75397,134739,27328,34511,13558,32228,8996,12776,25154,101932,20948,8103,3580,166134,2036,8196,30190
2021-01-01,234,68,246,498,278,118,194,212,66,0,231,346,113,732,263,27,95019,33,315,1734,30,18041,48877,33601,66918,7715,22117,3769,18041,9826,13079,15521,18748,18134,7170,119,91531,1095,205,7569
2021-01-01,607,431,1357,1994,2054,541,2928,647,331,0,1264,1408,661,983,1682,675,129887,391,1311,8694,190,24655,66164,66610,90819,15114,41023,10473,24655,11845,16598,28827,43896,21555,10055,4209,128984,1237,2156,20843
2021-01-01,818,6887,5017,8837,5627,8615,10587,1350,1959,0,4024,3572,2611,4299,5370,6624,266533,673,2335,16797,593,65995,160439,135874,226434,38809,72621,24444,65995,20457,32900,56856,118529,48399,19172,8319,298765,3551,5181,46492
2021-01-01,262,179,365,430,521,133,273,42,22,0,278,348,186,161,382,197,102004,188,437,3795,84,18681,52950,38393,71631,8433,25423,4537,18681,9640,13322,16000,25472,18141,8768,343,97954,994,593,10139
2021-01-01,468,137,379,562,1002,241,248,138,69,0,429,635,255,437,450,264,176673,437,649,4824,69,32411,81951,73535,114362,15471,51422,6642,32411,13267,23691,25018,48644,31165,13701,348,171250,1678,600,14021
2021-01-01,195,189,264,541,392,164,827,190,162,0,360,419,155,512,394,32,82997,31,528,1393,32,15175,41006,33406,56181,6822,23318,3267,15175,10153,12632,12659,13747,17753,7468,101,82097,801,183,6405
2021-01-01,448,572,1368,4684,2385,1312,3942,2148,928,0,2097,2572,1095,3121,1989,493,245769,436,3527,15516,297,57492,151077,85683,208569,16696,57765,11222,57492,24650,34892,43107,78654,35598,19858,638,262318,3309,1892,26095
2021-01-01,179,76,320,325,230,145,252,74,40,0,257,292,128,190,230,138,65674,57,430,2586,29,10084,30119,31272,40203,5656,21326,4290,10084,4513,8411,13036,21653,9036,4742,1760,60417,501,516,8278
2021-01-01,375,2677,1760,15735,2027,654,2081,518,241,0,1055,1721,529,1355,1549,609,143345,70,1038,6841,165,30871,84799,68301,115670,15728,40170,12403,30871,13858,18970,33746,49884,24122,12520,3472,155352,1664,1907,21576
2021-01-01,510,841,1133,4728,1820,1124,3373,796,587,0,1210,1438,722,1354,1312,384,150758,255,1536,8005,147,33785,89862,57876,123647,11129,39394,7353,33785,15318,22513,25917,50086,22401,11502,557,161260,1805,1357,16544
2021-01-01,187,480,864,2005,1281,292,813,217,151,0,779,1139,390,641,903,322,98932,80,1031,8358,158,20400,59157,39279,79557,7611,26133,5535,20400,7848,12338,15886,42441,13181,6742,1225,101105,1027,1243,14236
2021-01-01,336,288,1411,2795,2059,3153,1731,690,424,0,1221,1438,730,1225,1643,376,125422,178,1245,14632,354,30428,84972,45617,115400,8807,30030,6780,30428,13727,18169,20982,45840,20951,10919,397,140866,1775,1529,16450
2021-01-01,1053,626,1543,3480,2445,1437,1472,608,342,0,1750,2473,884,1952,2508,709,357337,345,2559,15884,418,69298,192490,136987,261785,25466,96004,15517,69298,28571,45115,55373,123785,49524,27105,874,354252,3648,2646,37352
2021-01-01,885,742,1337,2338,2158,656,1515,373,219,0,1245,1961,904,1181,1564,595,325620,354,2651,11515,221,61792,169088,126270,230880,25846,84953,15471,61792,27467,40467,52461,105387,46771,22805,1940,319027,3280,2307,30596
2021-01-01,321,75,363,679,417,416,444,260,135,0,356,363,185,594,341,83,96392,30,415,1982,38,17565,47532,38472,65098,8377,26318,3777,17565,9384,13050,15449,23053,17380,7688,153,94291,951,317,7857
2021-01-01,200,176,413,624,894,61,453,218,112,0,584,720,293,450,522,147,111822,294,862,5333,93,19358,56366,48344,75724,7389,34691,6264,19358,9263,14360,18587,38992,15536,7972,805,107642,932,863,13826
2021-01-01,248,119,307,747,264,767,308,247,98,0,368,520,236,649,279,236,109449,57,630,2394,58,21363,57244,39125,78607,7856,27112,4155,21363,9007,13468,17264,32614,15422,8594,181,106963,1108,360,9121
2021-01-01,52,287,545,321,259,33,153,54,25,0,189,179,49,53,368,114,3649,0,185,2062,59,579,5351,2653,5930,733,1412,508,579,223,392,708,5939,529,215,190,6237,44,548,1564
2021-01-01,561,767,1834,3027,3536,743,4904,961,796,0,1533,1659,982,1428,2114,731,155488,175,1192,10602,244,36373,92015,64327,128388,14158,40708,9461,36373,16123,23196,30420,50401,24043,12159,1986,165751,2006,1962,21010
2021-01-01,388,179,433,373,471,195,162,60,49,0,282,457,189,326,275,116,107926,104,843,2284,19,18377,48723,47641,67100,8746,34132,4763,18377,8317,13890,15948,31232,17998,8977,243,104581,932,393,8592
2021-01-01,104,56,122,123,195,51,141,34,10,0,117,175,59,99,119,61,64851,23,163,666,11,11068,30570,25438,41638,6104,17014,2320,11068,5629,7780,10272,14543,11895,5889,97,61154,599,226,5000
2021-01-01,854,319,1033,784,1663,233,574,302,182,0,1996,2446,895,1693,5757,298,533882,717,2455,14787,289,92880,254247,223178,347127,35951,160198,27029,92880,47676,72367,89955,145890,77919,43618,3048,504540,4726,2652,55339
2021-01-01,88,56,235,387,465,52,261,78,63,0,441,493,171,288,297,33,83545,71,635,3202,57,14517,44079,32236,58596,4472,23607,4158,14517,6768,10640,12575,30370,10439,5523,384,79614,744,681,9406
2021-01-01,1520,300,2838,2148,1818,730,1202,284,254,0,1167,1962,914,906,1248,825,494638,798,1384,8494,157,88110,222215,211743,310325,59011,129645,23087,88110,41359,61724,86414,116019,90804,37638,5712,462522,4623,2657,46551
2021-01-01,1403,4257,4571,32096,10333,12658,24109,3459,3155,0,2289,3182,1663,4597,10224,2482,190889,294,5662,28285,1116,68451,150143,126730,218594,41191,64571,20968,68451,27542,34920,52525,84691,53671,23524,4739,292035,3926,7123,37500
2021-01-01,62,18,96,205,153,500,47,22,18,0,148,208,85,128,123,33,53690,48,244,1149,12,8643,27132,21152,35775,2935,15912,2305,8643,4260,6406,8257,18165,7032,4164,126,51083,389,293,5036
2021-01-01,340,626,563,7335,3590,6122,3296,683,1352,0,1462,1291,1002,1083,2473,675,73178,103,831,12490,337,24924,58901,34668,83825,8734,19668,6266,24924,12423,15256,15358,25773,16682,8075,202,104672,1500,1075,11044
2021-01-01,833,3549,3950,29563,16080,15345,40219,36108,12114,0,9172,5740,4453,10380,12807,2259,146268,212,4935,36450,1120,80321,189407,120991,269728,38272,64606,18113,80321,28370,38241,45535,127342,49877,21032,977,348079,5085,3493,33085
2021-01-01,261,461,757,3397,1745,2588,2822,1023,566,0,1346,1687,697,1536,1458,396,122107,194,2102,9997,202,31301,77199,46581,108500,9182,31028,6373,31301,12499,17595,19844,46745,18167,8930,388,138732,1786,975,13200
2021-01-01,344,759,308,1086,618,195,456,135,110,0,374,516,198,384,603,329,97320,434,342,3525,104,19693,49296,38810,68986,10345,24280,4187,19693,8276,12733,16141,25517,16972,8468,177,96392,1040,518,9672
2021-01-01,364,1052,1165,5123,3413,760,9812,1141,1329,0,931,980,723,1004,2131,254,78557,309,812,7100,158,26055,58823,31875,84878,8015,19341,4519,26055,10008,13850,15187,29362,14717,7576,185,104492,1599,778,9699
2021-01-01,349,115,337,332,700,166,179,44,45,0,227,350,162,313,243,119,90470,62,484,1440,32,16909,40846,38062,57755,8216,26240,3607,16909,7175,11990,12903,24010,15668,7162,172,86655,862,311,7817
2021-01-01,975,827,1416,12631,4993,21034,6110,3056,1316,0,2048,2412,924,4178,6516,1032,173077,408,1982,16241,1163,52174,116201,92989,168375,26679,53360,12950,52174,21586,27706,36230,62097,42141,19430,1865,230959,2930,2173,23436
2021-01-01,101,10,117,160,131,100,57,71,41,0,184,290,77,172,138,47,68326,38,355,1212,9,10480,33228,27832,43708,3821,20997,3014,10480,5301,8121,9588,23939,9583,4526,154,64594,478,309,6005
2021-01-01,1023,190,1031,2279,2436,3150,2527,672,543,0,885,1197,716,1805,3294,424,266879,856,999,17534,687,57181,137858,113067,195039,30742,69605,12720,57181,28721,37907,41594,56931,61805,23970,367,278593,3283,1456,24405
2021-01-01,355,162,303,550,1346,41,546,176,115,0,500,546,297,411,863,136,105111,247,648,4170,243,20279,50926,45205,71205,9588,31057,4560,20279,10741,14905,17218,25951,18706,8609,201,104385,1060,551,10213
2021-01-01,1049,619,1005,7812,2705,14906,3499,3625,1046,0,1322,2254,482,5133,2458,2026,266564,428,1114,6296,194,61000,144640,117848,205640,30193,75739,11916,61000,28475,39480,45064,65589,60569,23311,420,297540,3463,1057,21006
2021-01-01,737,3685,4526,54806,31510,16714,22578,12898,4015,0,6673,5445,2446,4597,22655,16105,89265,248,8511,59009,1430,71744,175026,120345,246770,46928,54181,19236,71744,23821,27461,37920,130981,52925,22263,1318,318949,4146,6103,36599
2021-01-01,165,118,344,537,542,147,460,119,126,0,626,618,312,327,488,87,75897,265,664,5968,118,16333,44695,26734,61028,4865,18661,3207,16333,6993,9636,11736,25007,11824,6233,194,78690,794,629,7455
2021-01-01,126,181,304,273,673,28,202,99,47,0,486,624,223,387,360,89,142011,147,710,3923,56,23439,66726,60662,90166,7653,47044,5965,23439,12653,19009,21722,43114,19207,11684,362,133747,1192,742,14785
2021-01-01,163,199,365,612,971,223,446,134,78,0,590,868,258,363,546,96,113814,278,749,5069,83,21914,61734,42098,83646,6746,30453,4899,21914,9076,15052,18474,40207,13605,7416,323,112021,1085,718,11597
2021-01-01,204,366,786,1442,1035,390,1206,496,249,0,1207,1427,489,1122,1099,258,127245,145,1855,9059,283,29006,76524,44628,105530,8239,30349,6040,29006,11407,17400,20392,46724,16756,8473,467,133114,1560,967,14050
2021-01-01,275,109,271,282,360,112,148,108,36,0,317,455,160,552,231,54,136036,123,476,2414,51,20878,55577,65841,76455,13034,46446,6359,20878,13930,18400,20068,26133,30632,12255,200,127824,1047,515,12708
2021-01-01,532,129,766,1210,1053,528,617,173,104,0,851,1092,547,707,908,368,323838,324,1063,7819,118,54075,156120,132020,210195,24923,93961,13136,54075,28930,40565,49602,87851,52477,28715,621,309075,2622,1174,28723
2021-01-01,240,208,351,1084,1271,8638,713,487,176,0,465,867,201,1190,1129,190,97019,102,524,9192,214,23511,59318,41190,82829,9952,26136,5100,23511,10759,14594,17079,28826,20231,9019,191,111408,1339,742,10337
2021-01-01,261,466,550,906,1452,170,883,259,166,0,823,812,508,659,1239,445,83465,77,960,7704,136,17110,43831,40745,60941,8074,28177,4494,17110,9379,12393,14436,25210,15567,7589,360,89697,888,794,9947
2021-01-01,228,372,865,2634,1018,367,949,179,172,0,697,1076,469,575,789,199,120242,198,633,4913,97,26111,69516,40816,95627,7291,28404,5121,26111,11209,16397,21007,36540,15155,10026,251,121898,1382,607,12303
2021-01-01,60,78,86,133,117,21,50,27,10,0,120,134,45,69,128,20,51891,49,203,1526,30,8099,27335,19300,35435,3177,13746,2377,8099,4645,6651,7854,15183,8086,4216,99,49710,403,226,4297
2021-01-01,183,630,1415,3539,2549,919,1135,388,207,0,1781,2372,681,854,1901,884,102867,149,2326,13981,177,29980,66980,41796,96960,8294,28046,5454,29980,7048,12442,14811,56677,11753,6043,436,121875,1525,1705,13211
2021-01-01,633,8123,2691,11870,11615,3674,36463,16990,7059,0,7581,3818,2994,5165,37523,2535,103140,374,5969,61280,1121,72802,143864,113318,216666,43133,54454,15731,72802,24151,29005,34476,93371,57813,18366,673,297540,3721,3009,25041
2021-01-01,314,703,785,4712,1548,1930,1941,1438,553,0,1521,1306,588,1481,2675,330,101994,142,1657,9516,160,25048,65796,44136,90844,10161,28075,5900,25048,11388,16115,17575,35632,20734,8485,251,121777,1511,647,10795
2021-01-01,111,528,1293,3189,2749,1474,970,353,246,0,1132,1416,401,601,1552,721,56136,81,1190,6766,139,16331,39909,24698,56240,5334,16058,3307,16331,5106,8177,10110,28642,8246,4326,291,72489,867,774,6517
2021-01-01,250,44,320,921,354,149,347,405,119,0,353,518,198,979,370,62,104400,38,532,2739,60,19379,54966,38560,74346,8086,26266,4208,19379,10440,14022,17036,24203,18530,9296,153,103179,983,286,8304
2021-01-01,279,513,2020,1588,1980,274,893,137,107,0,1016,1305,484,503,1051,802,108095,100,875,8783,181,19378,59700,51631,79078,11499,28990,11142,19378,9098,12730,27915,38612,15078,7898,5648,101262,1163,2568,20068
2021-01-01,164,143,562,834,454,121,403,181,86,0,449,704,231,343,395,107,106212,109,484,2636,58,18875,55631,40007,74506,6414,29407,4186,18875,9376,13952,18423,31910,13246,8728,221,103551,898,496,9347
2021-01-01,268,72,245,387,443,85,455,223,136,0,394,382,220,416,676,47,88028,593,434,9058,167,17630,47108,37724,64738,8610,25383,3731,17630,10947,13346,13842,16152,21889,8656,120,92077,970,438,8857
2021-01-01,377,109,374,395,449,128,174,62,56,0,369,506,240,331,443,92,144356,123,630,6049,74,27384,73820,53758,101205,10855,36776,6127,27384,12648,19486,22746,37209,23373,12116,222,141881,1423,481,10955
2021-01-01,129,16,151,139,284,35,117,82,43,0,230,303,135,257,316,27,82401,103,314,1988,63,13957,39990,33057,53947,6257,23030,3770,13957,7648,11425,12861,21023,13427,6663,204,78416,724,346,7314
2021-01-01,157,75,242,383,299,174,189,66,76,0,290,396,173,299,284,97,75793,49,548,1887,55,12127,35716,33531,47843,5637,24676,3218,12127,6406,9605,12055,23868,11117,6196,141,72522,581,728,7404
2021-01-01,617,379,1146,1027,1429,944,1852,109,253,0,590,872,547,384,2202,926,177131,115,710,5277,256,34403,87519,74230,121921,21360,45185,7685,34403,16022,22280,27436,45246,34975,15787,425,177265,1883,906,15672
2021-01-01,196,106,472,1755,748,1451,1026,1263,386,0,777,859,351,2143,823,186,100367,28,887,3581,55,20806,56187,40270,76993,8251,27654,4365,20806,9337,13327,17661,30727,17002,8404,267,106723,1137,365,8769
2021-01-01,365,802,497,4481,1603,1160,2149,1912,765,0,882,869,569,2694,1238,332,103317,224,800,7824,296,25477,65621,41318,91098,9939,25402,5977,25477,12336,16332,19965,29295,19473,9538,764,117446,1404,672,12130
2021-01-01,173,92,312,337,405,23,439,405,140,0,359,342,190,319,401,49,75763,42,310,1992,29,14741,38484,28727,53225,5618,19818,3291,14741,8504,10664,13322,16648,11695,6378,93,73403,823,339,7295
2021-01-01,440,690,352,8136,1978,843,5235,847,870,0,715,791,535,787,3103,127,73030,320,699,7493,351,22346,49761,34794,72106,9138,21241,4415,22346,10086,12846,13962,22572,17186,7902,166,97035,1269,534,7896
2021-01-01,384,64,246,786,719,121,857,105,142,0,423,374,424,354,699,75,88663,135,352,5097,114,17029,41141,41581,58168,9229,27678,4673,17029,10744,12935,13209,15091,21926,8814,99,89483,922,619,8625
2021-01-01,584,2395,7125,10128,14842,3538,44185,8724,7693,0,5362,3491,3302,5142,10670,1462,119665,385,4230,35844,882,59321,142934,86813,202255,29664,42785,14364,59321,18349,23747,30154,104926,38319,14253,985,251011,3772,3986,29314
2021-01-01,237,476,2315,2873,3045,921,1531,357,262,0,1288,1773,615,710,1962,731,111076,467,1292,11718,235,24295,69774,49582,94068,10383,29752,9447,24295,8646,13528,23554,52620,13540,7467,2914,116855,1243,2783,19855
2021-01-01,221,199,580,484,496,209,373,82,58,0,345,438,179,371,277,314,109548,111,554,2729,45,19424,51818,46152,71242,8534,30948,6669,19424,7421,14302,18370,33807,15937,8131,1675,103294,983,717,10723
2021-01-01,592,6554,3459,8832,5579,2461,29478,17903,7264,0,6312,3691,2735,4749,20079,2342,87927,248,5582,43087,865,49678,134310,75158,183988,31596,30710,12852,49678,12782,17449,24171,109724,35043,10299,1153,216060,3391,4063,34476
2021-01-01,502,58,418,375,460,125,293,84,134,0,458,461,342,530,523,241,120301,91,685,2831,68,24530,58706,45242,83236,12298,27938,5006,24530,12338,17403,19057,24876,21865,8409,150,117889,1261,500,8678
2021-01-01,98,21,145,190,243,65,122,56,66,0,205,283,104,149,212,67,86678,111,353,1607,15,13706,43405,33580,57110,5367,24561,3652,13706,6806,10321,13201,28170,11686,6797,213,80885,655,417,8520
